,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,4700?F/100V ,BOX 5,6,https://www.mouser.in/datasheet/2/447/KEM_A4082_ALC80-3316696.pdf,
,4700?F/100V ,BOX 5,6,https://www.mouser.in/datasheet/2/447/KEM_A4082_ALC80-3316696.pdf,
,330?F/450V ,BOX 5,9,http://twen.rs-online.com/web/p/aluminium-capacitors/2098676?srsltid=AfmBOorM1lY3YCr8DxdkBoM0JjFWjePHd1MrUL_wgCw8g1URxDvpujmN,
,3300?F/35V ,BOX 5,20,https://docs.rs-online.com/a195/0900766b8154d042.pdf,
,4700?F/100V ,BOX 5,8,https://www.mouser.in/datasheet/2/447/KEM_A4082_ALC80-3316696.pdf,
,22?F/450V ,BOX 6,100,https://www.vishay.com/docs/28164/mkp1848dcl.pdf,
,680?F/50V ,BOX 6,15,https://www.farnell.com/datasheets/3959171.pdf?_gl=1*g9zjfu*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,4700?F/16V ,BOX 6,100,https://www.zeusbtc.com/ASIC-Miner-Repair/Parts-Tools-Details.asp?ID=1694,
,4700?F/10V ,BOX 6,100,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf,
,100?F/100V ,BOX 6,50,https://www.mouser.in/datasheet/2/293/e_uvp-3082211.pdf,
,1000?F/10V ,BOX 6,100,https://www.vishay.com/docs/28395/150crz.pdf,
,220?F/25V ,BOX 6,50,https://www.vishay.com/docs/28321/136rvi.pdf,
,4700?F/10V ,BOX 6,50,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf,
,330?F/63V ,BOX 6,25,https://uk.rs-online.com/web/p/aluminium-capacitors/1701275,
,47?F/100V ,BOX 6,100,https://www.mouser.in/datasheet/2/40/apz_series-2933544.pdf,
,4700?F/10V ,BOX 6,50,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf,
,1500?F/6.3V ,BOX 6,100,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,
,10?F/35V ,BOX 6,200,https://www.we-online.com/components/products/datasheet/865230542002.pdf,
,220?F/25V ,BOX 6,100,https://www.vishay.com/docs/28321/136rvi.pdf,
,10?F/450V ,BOX 6,50,https://www.vishay.com/docs/42045/500d.pdf,
,22?F/250V ,BOX 6,50,https://www.sunrom.com/download/876.pdf,
,330?F/63V ,BOX 6,50,https://uk.rs-online.com/web/p/aluminium-capacitors/1701275,
,33?F/250V ,BOX 6,50,https://uk.rs-online.com/web/p/film-capacitors/2584197,
,2200?F/10V ,BOX 6,150,https://www.mouser.in/datasheet/2/293/e_upw-3082351.pdf,
,10?F/100V ,BOX 6,100,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf,
,220?F/25V ,BOX 6,25,https://www.vishay.com/docs/28321/136rvi.pdf,
,100?F/25V ,BOX 6,100,https://www.we-online.com/components/products/datasheet/865090449009.pdf,
,2200?F/10V ,BOX 6,50,https://www.mouser.in/datasheet/2/293/e_upw-3082351.pdf,
,1000?F/10V ,BOX 6,100,https://www.vishay.com/docs/28395/150crz.pdf,
,10?F/50V ,BOX 6,200,https://www.mouser.in/datasheet/2/420/Chemi_Con_MVHRA_e-3313642.pdf,
,33?F/25V ,BOX 6,100,https://www.farnell.com/datasheets/2820388.pdf,
,4.7?F/450V ,BOX 6,50,https://product.tdk.com/system/files/dam/doc/product/capacitor/aluminum-electrolytic/single-ended/data_sheet/20/30/db/aec/b43890.pdf,
,1000?F/63V ,BOX 6,10,https://www.vishay.com/docs/28334/118aht.pdf,
,220?F/25V ,BOX 6,50,https://www.vishay.com/docs/28321/136rvi.pdf,
,560?F/35V ,BOX 6,50,https://uk.rs-online.com/web/p/aluminium-capacitors/1084776,
,3300?F/10V ,BOX 6,50,https://4donline.ihs.com/images/VipMasterIC/IC/PANA/PANA-S-A0017042841/PANA-S-A0017230337-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,
,20 PIN IC SOCKET,BOX 6,50,.,
,14 PIN IC SOCKET,BOX 6,50,.,
,16 PIN IC SOCKET,BOX 6,50,.,
,zener box,BOX 6,1,.,
,ZENER BOX,BOX 7,4,.,
,CAP 3.3µF/305V,BOX 7,10,https://docs.rs-online.com/6a07/0900766b81399d44.pdf,
,CAP 0.1µF/1000V DC,BOX 7,10,https://www.ato.com/0-1%CE%BCf-1kv-ceramic-capacitor?srsltid=AfmBOoqV7rLFYBG_EqRsSv01QV_BFEeUC_OCgDJkG0eEy9Vp50qjCbhZ,
,2200?F/16V ,BOX 7,50,https://sharvielectronics.com/product/2200uf-16v-electrolytic-capacitor-105c-12x20mm-samwha/?srsltid=AfmBOooLDw5XXQ7MpARmrgHnl3yNURyL09u5JizbipRu_yODvB_n-cRm,
,4700?F/10V ,BOX 7,100,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf,
,330?F/100V ,BOX 7,100,https://www.farnell.com/datasheets/4379357.pdf,
,47?F/63V ,BOX 7,50,https://www.mouser.in/datasheet/2/447/KEM_A4005_ESH-3315849.pdf,
,47?F/450V ,BOX 7,50,https://www.farnell.com/datasheets/4379357.pdf,
,4700?F/16V ,BOX 7,100,https://www.zeusbtc.com/ASIC-Miner-Repair/Parts-Tools-Details.asp?ID=1694,
,10?F/100V ,BOX 7,50,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf,
