MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
A3131,I1_10_7,9,https://techcenter.lanxess.com/scp/americas/en/products/datasheet/LANXESS_Pocan_A3131_000000_ISO_EN.pdf?docId=31465652
CD4053 = HD14053,I1_11_1,20,https://www.ti.com/lit/ds/symlink/cd4053b.pdf?ts=1751191738568&ref_url=https%253A%252F%252Fwww.google.com%252F
FA13844,I1_11_1,20,https://assets.yoreparo.com/attachments/nL3G7JGQcoYfxvtxsllDmRICLEmgbZ7OnsWF85yW.pdf
UC2844,I1_11_1,16,https://www.ti.com/lit/ds/symlink/uc2845aq.pdf?ts=1751260925607
DAC0800LCN,I1_11_2,9,https://www.ti.com/lit/ds/symlink/dac0800.pdf
TLC2652,I1_11_2,4,https://www.ti.com/lit/ds/symlink/tlc2652.pdf?ts=1751263993063&ref_url=https%253A%252F%252Fwww.google.com%252F
74HCTLS161,I1_11_2,1,https://www.ti.com/lit/ds/symlink/sn74ls161a.pdf?ts=1751264008164&ref_url=https%253A%252F%252Fwww.google.com%252F
74122,I1_11_2,1,https://www.ti.com/lit/ds/symlink/sn54123.pdf?ts=1751261467906&ref_url=https%253A%252F%252Fwww.google.com%252F
TNY264,I1_11_2,3,https://www.farnell.com/datasheets/98510.pdf
CD4053,I1_11_2,3,https://www.ti.com/lit/ds/symlink/cd4053b.pdf?ts=1751191738568&ref_url=https%253A%252F%252Fwww.google.com%252F
DM74132N = 74HC132N,I1_11_3,40,https://assets.nexperia.com/documents/data-sheet/74HC_HCT132.pdf
LM239,I1_11_3,1,https://www.ti.com/lit/ds/symlink/lm139.pdf
74423,I1_11_3,1,https://www.we-online.com/components/products/datasheet/744223.pdf
